City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bilibino,166.4372,68.0546,264.79,93,99,0.57,RU,1696901893
1,grytviken,-36.5092,-54.2811,273.05,77,26,4.72,GS,1696901841
2,abu jibeha,31.2285,11.4562,298.79,56,100,2.31,SD,1696901952
3,olonkinbyen,-8.7187,70.9221,275.14,93,100,6.84,SJ,1696901944
4,vilyuchinsk,158.4028,52.9306,282.3,82,100,2.05,RU,1696901937
5,lyubinskiy,72.6925,55.1542,287.0,47,97,8.34,RU,1696901954
6,ushuaia,-68.3,-54.8,272.96,100,100,12.86,AR,1696901859
7,albany,-73.9662,42.6001,282.85,74,48,2.06,US,1696901871
8,hermanus,19.2345,-34.4187,287.72,79,74,9.19,ZA,1696901847
9,qaqortoq,-46.0333,60.7167,276.84,64,94,3.3,GL,1696901867
10,adamstown,-130.1015,-25.066,292.95,65,10,4.81,PN,1696901822
11,newnham,147.1333,-41.3833,289.63,51,40,3.09,AU,1696901958
12,tay ninh,106.1,11.3,298.57,91,100,0.99,VN,1696901709
13,hirtshals,9.9592,57.5881,284.79,62,48,7.47,DK,1696901959
14,blackmans bay,147.3167,-43.0167,289.55,65,54,2.21,AU,1696901820
15,port lincoln,135.8667,-34.7333,291.25,61,0,2.35,AU,1696901708
16,hassi messaoud,6.0729,31.6804,295.07,49,0,2.06,DZ,1696901961
17,lionel town,-77.2406,17.8101,300.09,85,80,2.35,JM,1696901962
18,santa ines,-45.38,-3.6667,298.84,71,0,2.84,BR,1696901962
19,ribeira grande,-28.7,38.5167,294.69,88,25,8.49,PT,1696901818
20,ilulissat,-51.1,69.2167,271.16,64,100,4.63,GL,1696901862
21,quellon,-73.6167,-43.1167,279.53,84,100,3.29,CL,1696901864
22,whitehorse,-135.0538,60.7161,283.58,90,75,8.23,CA,1696901821
23,ust-nera,143.2,64.5667,266.05,96,89,1.79,RU,1696901966
24,arias,-62.4027,-33.6441,297.16,24,72,7.88,AR,1696901966
25,port-aux-francais,70.2167,-49.35,275.22,76,37,17.41,TF,1696901727
26,east london,27.9116,-33.0153,288.68,85,100,3.37,ZA,1696901967
27,edinburgh of the seven seas,-12.3116,-37.0676,286.6,91,80,0.65,SH,1696901855
28,stanley,-1.6985,54.868,286.76,92,20,1.54,GB,1696901862
29,college,-147.8028,64.8569,273.12,87,100,3.6,US,1696901946
